Sex,Age group,Statistics,Data type,Geography 4,Labour force characteristics,Nov-20,Oct-20,Nov-20,November 2019 to November 2020,October 2020 to November 2020,October 2020 to November 2020,November 2019 to November 2020
Both sexes,15 years and over,Estimate,Seasonally adjusted,Canada,Unemployment rate 10,5.9,8.9,8.5,2.6,-0.4,...,...
,,,,Newfoundland and Labrador,Unemployment rate 10,11.3,12.8,12.2,0.9,-0.6,...,...
,,,,Prince Edward Island,Unemployment rate 10,8,10,10.2,2.2,0.2,...,...
,,,,Nova Scotia,Unemployment rate 10,7.9,8.7,6.4,-1.5,-2.3,...,...
,,,,New Brunswick,Unemployment rate 10,7.9,10.1,9.6,1.7,-0.5,...,...
,,,,Quebec,Unemployment rate 10,5.6,7.7,7.2,1.6,-0.5,...,...
,,,,Ontario,Unemployment rate 10,5.5,9.6,9.1,3.6,-0.5,...,...
,,,,Manitoba,Unemployment rate 10,5.6,7.1,7.4,1.8,0.3,...,...
,,,,Saskatchewan,Unemployment rate 10,5.8,6.4,6.9,1.1,0.5,...,...
,,,,Alberta,Unemployment rate 10,7.2,10.7,11.1,3.9,0.4,...,...
,,,,British Columbia,Unemployment rate 10,5,8,7.1,2.1,-0.9,...,...
,,,,,,,,,,,,
Symbol legend:,,,,,,,,,,,,
...,not applicable,,,,,,,,,,,
,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,
1,"Fluctuations in economic time series are caused by seasonal, cyclical and irregular movements. A seasonally adjusted series is one from which seasonal movements have been eliminated. Seasonal movements are defined as those which are caused by regular annual events such as climate, holidays, vacation periods and cycles related to crops, production and retail sales associated with Christmas and Easter. It should be noted that the seasonally adjusted series contain irregular as well as longer-term cyclical fluctuations. The seasonal adjustment program is a complicated computer program which differentiates between these seasonal, cyclical and irregular movements in a series over a number of years and, on the basis of past movements, estimates appropriate seasonal factors for current data. On an annual basis, the historic series of seasonally adjusted data are revised in light of the most recent information on changes in seasonality.",,,,,,,,,,,
2,"To ensure respondent confidentiality, estimates below a certain threshold are suppressed. For Canada, Quebec, Ontario, Alberta and British Columbia suppression is applied to all data below 1,500. The threshold level for Newfoundland and Labrador, Nova Scotia, New Brunswick, Manitoba and Saskatchewan is 500, while in Prince Edward Island, estimates under 200 are supressed. For census metropolitan areas (CMAs) and economic regions (ERs), use their respective provincial suppression levels mentioned above. Estimates are based on smaller sample sizes the more detailed the table becomes, which could result in lower data quality.",,,,,,,,,,,
3,For more information on seasonal adjustment see Seasonally adjusted data - Frequently asked questions.,,,,,,,,,,,
4,Excluding the territories.,,,,,,,,,,,
5,"Number of civilian, non-institutionalized persons 15 years of age and over who, during the reference week, were employed or unemployed. Estimates in thousands, rounded to the nearest hundred.",,,,,,,,,,,
6,"Number of persons who, during the reference week, worked for pay or profit, or performed unpaid family work or had a job but were not at work due to own illness or disability, personal or family responsibilities, labour dispute, vacation, or other reason. Those persons on layoff and persons without work but who had a job to start at a definite date in the future are not considered employed. Estimates in thousands, rounded to the nearest hundred.",,,,,,,,,,,
7,"Full-time employment consists of persons who usually work 30 hours or more per week at their main or only job. Estimates in thousands, rounded to the nearest hundred.",,,,,,,,,,,
8,"Part-time employment consists of persons who usually work less than 30 hours per week at their main or only job. Estimates in thousands, rounded to the nearest hundred.",,,,,,,,,,,
9,"Number of persons who, during the reference week, were without work, had looked for work in the past four weeks, and were available for work. Those persons on layoff or who had a new job to start in four weeks or less are considered unemployed. Estimates in thousands, rounded to the nearest hundred.",,,,,,,,,,,
10,"The unemployment rate is the number of unemployed persons expressed as a percentage of the labour force. The unemployment rate for a particular group (age, sex, marital status, etc.) is the number unemployed in that group expressed as a percentage of the labour force for that group. Estimates are percentages, rounded to the nearest tenth.",,,,,,,,,,,
,,,,,,,,,,,,
"How to cite: Statistics Canada. Table 14-10-0287-03 Labour force characteristics by province, monthly, seasonally adjusted",,,,,,,,,,,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410028703,,,,,,,,,,,,
DOI: https://doi.org/10.25318/1410028701-eng,,,,,,,,,,,,
